date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-09-24,New York Yankees,Boston Red Sox,-162,135,0.59263,0.40737,0.04458,6
2022-09-24,Philadelphia Phillies,Atlanta Braves,106,-126,0.46605,0.53395,0.04414,6
2022-09-24,Pittsburgh Pirates,Chicago Cubs,-110,-110,0.5,0.5,0.04762,6
2022-09-24,Tampa Bay Rays,Toronto Blue Jays,-115,-105,0.51083,0.48917,0.04708,6
2022-09-24,Texas Rangers,Cleveland Guardians,-126,106,0.53472,0.46528,0.0408,6
2022-09-25,Arizona Diamondbacks,San Francisco Giants,-122,104,0.52839,0.47161,0.04196,6
2022-09-25,Athletics,New York Mets,258,-334,0.26658,0.73342,0.04931,6
2022-09-25,Chicago White Sox,Detroit Tigers,-244,196,0.677,0.323,0.04771,6
2022-09-25,Cincinnati Reds,Milwaukee Brewers,126,-154,0.42105,0.57895,0.04857,6
2022-09-25,Colorado Rockies,San Diego Padres,180,-222,0.34109,0.65891,0.04707,6
2022-09-25,Kansas City Royals,Seattle Mariners,154,-180,0.37935,0.62065,0.03578,6
2022-09-25,Los Angeles Dodgers,St. Louis Cardinals,-178,145,0.61046,0.38954,0.0478,6
2022-09-25,Miami Marlins,Washington Nationals,-176,150,0.61477,0.38523,0.03834,6
2022-09-25,Minnesota Twins,Los Angeles Angels,-105,-115,0.48917,0.51083,0.04708,6
2022-09-25,New York Yankees,Boston Red Sox,-200,165,0.63855,0.36145,0.04403,6
2022-09-25,Philadelphia Phillies,Atlanta Braves,110,-138,0.45055,0.54945,0.0569,6
2022-09-25,Pittsburgh Pirates,Chicago Cubs,-135,114,0.55202,0.44798,0.04067,6
2022-09-25,Tampa Bay Rays,Toronto Blue Jays,-140,117,0.55903,0.44097,0.04503,6
2022-09-25,Texas Rangers,Cleveland Guardians,110,-131,0.45643,0.54357,0.04329,6
2022-09-26,Boston Red Sox,Baltimore Orioles,-122,100,0.52361,0.47639,0.04955,6
2022-09-26,Pittsburgh Pirates,Cincinnati Reds,-161,136,0.59331,0.40669,0.03969,6
2022-09-26,Toronto Blue Jays,New York Yankees,-120,100,0.52174,0.47826,0.04545,6
2022-09-26,Washington Nationals,Atlanta Braves,198,-255,0.31878,0.68122,0.05444,6
2022-09-27,Boston Red Sox,Baltimore Orioles,-130,106,0.53857,0.46143,0.04948,6
2022-09-27,Chicago Cubs,Philadelphia Phillies,145,-174,0.39101,0.60899,0.04386,6
2022-09-27,Cleveland Guardians,Tampa Bay Rays,-152,124,0.57467,0.42533,0.0496,6
2022-09-27,Detroit Tigers,Kansas City Royals,-120,101,0.52298,0.47702,0.04297,6
2022-09-27,Milwaukee Brewers,St. Louis Cardinals,-105,-118,0.48668,0.51332,0.05243,6
2022-09-27,New York Mets,Miami Marlins,-224,180,0.65922,0.34078,0.04802,6
2022-09-27,Pittsburgh Pirates,Cincinnati Reds,-116,-105,0.51134,0.48866,0.04816,6
2022-09-27,Toronto Blue Jays,New York Yankees,-116,-107,0.50955,0.49045,0.05395,6
2022-09-27,Washington Nationals,Atlanta Braves,180,-218,0.34269,0.65731,0.04218,6
2022-09-28,Boston Red Sox,Baltimore Orioles,-135,114,0.55202,0.44798,0.04067,6
2022-09-28,Chicago Cubs,Philadelphia Phillies,146,-176,0.38979,0.61021,0.04501,6
2022-09-28,Cleveland Guardians,Tampa Bay Rays,-128,108,0.53851,0.46149,0.04429,6
2022-09-28,Detroit Tigers,Kansas City Royals,-135,116,0.55317,0.44683,0.03851,6
2022-09-28,Houston Astros,Arizona Diamondbacks,-215,178,0.65446,0.34554,0.0429,6
2022-09-28,Los Angeles Angels,Athletics,-205,175,0.64892,0.35108,0.03577,6
2022-09-28,Milwaukee Brewers,St. Louis Cardinals,-188,159,0.62813,0.37187,0.03827,6
