fighter,division,division_code,td_def,td_acc,td_per15,str_def,str_acc,kd_per15,sub_att_per15,pct_distance,SLpM,SApM,dmg_per_round,finish_rate,decision_rate,gets_finished_rate,times_kod,ko_tko_wins,times_submitted,td_att_per_round,age,reach_in,height_in,stance,style,layoff_days,streak,country,hometown,rank,ctrl_sec_per_round,wins,losses,last_fight_date
Gregory Rodrigues,Middleweight,mw,0.75,0.357,1.5164841628959276,0.509,0.515,0.7404819004524887,0.33554751131221716,0.3076923076923077,4.2895565610859725,3.758947963800905,22.929,0.5384615384615384,0.3076923076923077,0.15384615384615385,2,7,0,1.411266968325792,34.1,75.0,75.0,Orthodox,grappler,110,3.0,Brazil,,12.0,47.17443438914027,10.0,3.0,2026-03-07
Charles Oliveira,Lightweight,lw,0.549,0.398,2.2589146341463415,0.49,0.556,0.4383414634146341,2.4124939024390244,0.16216216216216217,3.3731890243902436,3.115689024390244,12.55,0.5675675675675675,0.16216216216216217,0.24324324324324326,5,4,4,1.485859756097561,36.7,74.0,70.0,Orthodox,grappler,105,,Brazil,"State of São Paulo, Brazil",3.0,78.16951219512195,,,2026-03-07
Caio Borralho,Middleweight,mw,0.737,0.455,1.0919408284023668,0.598,0.551,0.3259378698224852,0.40440828402366863,0.7777777777777778,3.215266272189349,2.7419319526627217,15.828,0.2222222222222222,0.7777777777777778,0.0,0,1,0,0.8709644970414202,33.1,75.0,73.0,Southpaw,grappler,110,1.0,Brazil,,5.0,68.53579881656805,8.0,1.0,2026-03-07
Ricky Turcios,Bantamweight,bw,0.441,0.217,1.2324,0.473,0.408,0.29403999999999997,0.4125,0.6666666666666666,4.0836,3.6733000000000002,18.88,0.0,0.6666666666666666,0.3333333333333333,0,0,2,1.3812000000000002,33.0,71.0,69.0,Orthodox,striker,105,,,,,48.3,2.0,4.0,2026-03-07
Rob Font,Bantamweight,bw,0.371,0.295,0.8337600000000001,0.577,0.454,0.38593599999999995,0.3354,0.6190476190476191,4.93224,3.52492,24.5,0.3333333333333333,0.6190476190476191,0.047619047619047616,0,6,1,0.84528,39.0,71.0,68.0,Orthodox,striker,105,,,,,25.872,12.0,9.0,2026-03-07
Brunno Ferreira,Middleweight,mw,0.588,0.238,1.1175562130177514,0.519,0.501,0.5564763313609468,0.5629467455621302,0.1111111111111111,3.100343195266272,3.2099319526627217,15.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,2,3,1,1.38396449704142,33.3,72.0,70.0,Orthodox,balanced,110,-1.0,,,,28.174260355029585,6.0,3.0,2026-03-07
Max Holloway,Lightweight,lw,0.814,0.533,0.42109722222222223,0.586,0.481,0.38136111111111115,0.33320138888888884,0.53125,6.660076388888889,4.512229166666667,33.16,0.40625,0.53125,0.0625,1,11,1,0.28392361111111114,34.5,69.0,71.0,Orthodox,striker,105,,United States,"Waianae, United States",4.0,20.143055555555556,,,2026-03-07
Raul Rosas Jr.,Bantamweight,bw,0.333,0.542,4.860363636363636,0.548,0.411,0.28976363636363633,0.6922727272727273,0.5714285714285714,2.306909090909091,2.1248181818181817,5.94,0.42857142857142855,0.5714285714285714,0.0,0,1,0,2.818363636363636,21.7,67.0,69.0,Switch,wrestler,105,,,,12.0,112.63636363636364,6.0,1.0,2026-03-07
Marlon Vera,Bantamweight,bw,0.717,0.393,0.5774666666666666,0.489,0.469,0.4981466666666667,0.6621666666666666,0.5769230769230769,4.121199999999999,5.2851,19.59,0.4230769230769231,0.5769230769230769,0.0,0,7,0,0.4757333333333333,33.5,70.0,68.0,Switch,striker,112,,,,10.0,25.780000000000005,15.0,11.0,2026-02-28
Cristian Quinonez,Bantamweight,bw,0.8,0.529,2.8280000000000003,0.526,0.452,0.2138,0.6681250000000001,0.25,3.5095,3.259125,12.38,0.25,0.25,0.5,0,1,2,1.7065000000000001,30.1,70.0,68.0,Orthodox,balanced,112,,,,,61.275000000000006,2.0,2.0,2026-02-28
